Code,Description,CO2
481,Pilatus Turbo Porter PC-6B,50
86,Piper PA-12 (Supercruiser),50
81,Piper PA-14 (Family-Cruiser),50
80,Piper PA-18 (Super-Cub),50
82,Piper PA-22 (Tri-Pacer),50
190,Piper PA-23-250 (Aztec/Apache),50
83,Piper PA-24 (Comanche),50
84,Piper PA-28 (Cherokee),50
476,Piper PA-30/31T Cheyenne II XL,50
194,Piper PA-31 (Navajo)/T-1020,50
79,Piper PA-32 (Cherokee 6),50
195,Piper PA-34/39 (Twin Commanche),50
193,Piper T-1020,50
478,Piper T-1040,50
451,Pipistrel D O O Virus Sw 121c,50
422,Quest Kodiak 100,50
437,Raytheon Beechcraft Baron B-58,50
642,Raytheon Beechcraft Hawker 400XP,50
684,Raytheon Beechcraft Hawker 800XP,50
672,Raytheon Beechcraft Hawker 900XP,50
606,Raytheon Beechraft 390 Premier I,50
434,Raytheon King Air A100,50
360,Robinson R44,50
670,Rockwell Sabreliner,50
410,Rockwell Turbo-Commander 680-W/690,50
432,Saab 2000,50
459,Saab-Fairchild 340/A,50
456,Saab-Fairchild 340/B,50
487,Shorts 330,50
489,Shorts 360,50
560,Shorts Belfast Freighter-Sh5,50
486,Shorts Harland SC-7 Skyvan,50
380,Sikorsky S-51,50
381,Sikorsky S-55,50
385,Sikorsky S-58A/B/C,50
387,Sikorsky S-61,50
388,Sikorsky S-61L,50
386,Sikorsky S-61N,50
389,Sikorsky S-62/A,50
390,Sikorsky S-76,50
280,Sikorsky VS-44A (Amphibian),50
433,Socata TBM-700,50
431,Socata TBM850,50
98,Stinson 0-299 Hp,50
97,Stinson F.W. 300-450 Hp,50
88,Stinson SR-10E Bushman,50
85,Stinson SR-9,50
87,Stinson V-77,50
303,Sud Alouette,50
714,Sukhoi Superjet 100,50
466,Swearingen Metro II,50
467,Swearingen Metro III,50
462,Swearingen Metro Merlin,50
780,Tupolev TU-154,50
649,Tupolev TU-204-300,50
999,Used for capturing expenses not attributed to specific aircraft types,50
580,Vickers Viscount 700/744/745/745D,50
584,Vickers Viscount V800/810/812,50
490,Volpar Turbo 18,50
396,Westland SR-N5 (Acv),50
792,Yakolev Yak-42,50
